NCode,Year,Month,difference,Carrier_delay,Weather_delay,NAS_delay,Security_delay,Late_aircraft_delay,inc_dec
4,2013,4,272025,2600,525,1956,37,6090,Increase
4,2014,4,921358,3732,263,1564,9,7159,Increase
4,2015,4,1631523,3263,423,1492,4,5368,Increase
4,2016,4,410260,2881,427,1855,19,5482,Increase
4,2017,4,854453,3092,482,2438,3,6670,Increase
4,2018,4,320771,4677,243,1994,26,7371,Increase
4,2010,5,394742,3300,609,1664,23,7210,Increase
4,2011,5,625937,4208,862,2139,37,9694,Increase
4,2012,5,44082,3187,354,1222,34,4937,Increase
4,2013,5,604087,2871,599,1904,24,6209,Increase
4,2014,5,672681,4427,626,1943,12,9104,Increase
4,2015,5,1538476,4034,817,1732,9,7182,Increase
4,2016,5,683110,2817,646,1820,19,5750,Increase
4,2017,5,457050,3590,561,2672,10,7425,Increase
4,2018,5,726284,4796,476,2582,36,8279,Increase
4,2010,6,557033,3825,938,1926,17,8668,Increase
4,2011,6,362470,3407,622,1628,42,7770,Increase
4,2012,6,173144,3967,437,1631,27,6821,Increase
4,2013,6,403481,4310,844,2387,23,8827,Increase
4,2014,6,1004934,5629,812,2384,13,11756,Increase
4,2015,6,1402331,5668,1079,2095,13,9446,Increase
4,2016,6,715507,4744,793,2400,56,9010,Increase
4,2017,6,646269,4610,926,2728,28,9479,Increase
4,2018,6,446746,4654,537,2339,46,7725,Increase
4,2010,7,446005,4093,637,1847,44,8292,Increase
4,2011,7,117488,3002,683,1670,15,6640,Increase
4,2012,7,321554,4347,737,2081,30,8437,Increase
4,2013,7,76633,3503,628,2102,27,6898,Increase
4,2014,7,1448602,6116,827,2123,7,11105,Increase
4,2015,7,1663212,5694,666,2309,12,10262,Increase
4,2016,7,1512,6461,1093,2716,17,11133,Increase
4,2017,7,1020885,4453,915,2619,15,8930,Increase
4,2018,7,310518,5524,753,3037,54,9214,Increase
4,2010,8,613147,3094,422,1449,22,5862,Increase
4,2011,8,103362,2771,620,1665,27,6223,Increase
4,2012,8,500983,3544,585,1787,30,6989,Increase
4,2013,8,-179610,3568,482,1920,19,7102,Decrease
4,2014,8,1263819,4154,586,1809,16,7766,Increase
4,2015,8,1408368,4164,789,1923,12,6852,Increase
4,2016,8,318775,3229,676,2181,34,5845,Increase
4,2017,8,737127,4876,767,2837,15,9680,Increase
